Age,Gender,Socioeconomic_Status,Attendance_Percentage,Study_Hours_Per_Week,Previous_Term_Grade,Continuous_Assessment_Score,Performance_Status
24,Female,Medium,96.7,13.0,67.7,19.9,Average
21,Male,Low,72.5,19.1,65.8,19.1,Average
22,Female,High,65.3,12.3,62.6,15.9,Average
24,Female,High,92.1,11.6,61.7,22.1,Average
20,Male,Medium,77.4,7.4,73.5,25.4,Average
22,Male,Medium,87.9,12.5,86.5,20.0,Excellent
22,Female,Medium,100.0,10.9,69.9,27.2,Excellent
24,Male,Medium,78.4,13.0,69.1,28.3,Average
19,Female,High,81.2,18.1,58.8,22.6,Average
20,Female,Medium,87.8,6.4,67.3,18.3,Average
24,Female,Medium,72.0,5.1,84.3,31.9,Excellent
20,Female,Medium,77.4,11.3,82.4,25.2,Excellent
20,Male,High,85.2,17.3,81.6,34.7,Excellent
22,Male,Medium,82.0,16.4,81.2,25.5,Excellent
21,Male,Low,91.1,11.2,75.2,25.8,Average
20,Male,Medium,100.0,20.8,74.8,20.2,Excellent
23,Female,High,86.0,11.7,72.9,22.9,Average
22,Female,Low,76.6,17.3,65.0,17.2,Average
19,Male,Medium,99.2,13.2,71.0,18.3,Average
21,Female,Low,69.1,10.7,72.6,28.7,Average
23,Female,Medium,71.1,12.0,77.6,23.6,Average
23,Female,Medium,79.0,18.7,71.2,22.9,Average
19,Male,Medium,82.2,16.8,95.3,21.3,Average
21,Male,Medium,78.8,19.8,55.5,23.1,Average
22,Male,Medium,84.7,16.8,79.1,30.7,Excellent
18,Female,Medium,87.7,6.9,69.5,25.7,Excellent
21,Male,High,95.7,25.6,70.0,19.1,Excellent
19,Male,Medium,85.9,16.9,60.2,30.2,Average
23,Male,High,79.4,17.6,82.2,33.6,Excellent
22,Male,Medium,95.1,13.1,77.8,27.5,Excellent
21,Male,Low,76.8,20.6,80.0,29.5,Excellent
18,Male,Medium,68.7,9.5,72.0,31.1,Excellent
18,Female,Medium,97.1,18.0,66.1,16.7,Average
20,Female,Medium,96.4,4.6,69.2,34.3,Excellent
20,Male,Low,77.1,18.4,75.2,30.5,Excellent
24,Male,Low,81.0,9.6,45.9,27.4,At-Risk
19,Female,High,75.8,16.4,80.5,24.4,Excellent
21,Female,Medium,88.3,21.8,99.1,18.3,Excellent
21,Male,High,100.0,19.1,75.8,23.3,Excellent
24,Male,Medium,92.0,21.1,66.6,27.2,Average
23,Male,Medium,95.4,20.6,68.1,19.5,Excellent
23,Male,Medium,93.2,12.4,78.5,24.7,Excellent
24,Female,Medium,85.0,18.0,66.9,19.1,Average
23,Male,Medium,95.8,6.4,80.4,23.1,Excellent
20,Male,Medium,92.5,11.6,67.9,18.2,Excellent
